canonical_source,aliases,class_label,classification_evidence,classification_reference,nustar_obsids,rxte_available,current_phase1_membership,identity_status,usable_status,notes,source_id,ra_deg,dec_deg,coordinate_reference,secure_label,field_review_required,public_candidate_observations
EXO 1747-214,EXO 1747-214,NS,MINBAR direct evidence: 1 catalogue bursts; type=TB; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1985IAUC.4058....2P,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,exo_1747_214,267.60217,-21.42219,https://burst.sci.monash.edu/sources,True,False,0
GRS 1741.9-2853,GRS 1741.9-2853|GRS_1741d9m2853,NS,MINBAR direct evidence: 27 catalogue bursts; type=BOT; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1999A&A...346L..45C,90601317002,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Broader MINBAR census outside Phase I.,grs_1741_9_2853,266.25967,-28.91377,https://burst.sci.monash.edu/sources,True,False,1
GRS 1747-312,GRS 1747-312,NS,MINBAR direct evidence: 21 catalogue bursts; type=BDEGT; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2003A&A...406..233I,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,MINBAR discovery; cluster-marked fields require object-level contamination audit.,grs_1747_312,267.69525,-31.274683,https://burst.sci.monash.edu/sources,True,True,0
GS 1826-24,GS 1826-24,NS,MINBAR direct evidence: 455 catalogue bursts; type=TB; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1997IAUC.6611....1U,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,gs_1826_24,277.3675,-23.796972,https://burst.sci.monash.edu/sources,True,False,0
GX 13+1,GX 13+1|GX_13p1,NS,MINBAR direct evidence: 1 catalogue bursts; type=ABDR; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1995PASJ...47..575M,30301003002,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Broader MINBAR census outside Phase I.,gx_13_1,273.6295,-17.15725,https://burst.sci.monash.edu/sources,True,False,1
GX 17+2,GX 17+2|GX_17p2,NS,MINBAR direct evidence: 43 catalogue bursts; type=BRSZ; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1981IAUC.3624....1O,30101023002|30902026004|30902026006|30902026008|91001339002,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Broader MINBAR census outside Phase I.,gx_17_2,274.0058,-14.036283,https://burst.sci.monash.edu/sources,True,False,5
GX 3+1,GX 3+1|GX_3p1,NS,MINBAR direct evidence: 204 catalogue bursts; type=ABS; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1983ApJ...267..310M,30363001002|31001012002,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Broader MINBAR census outside Phase I.,gx_3_1,266.98373,-26.563707,https://burst.sci.monash.edu/sources,True,False,2
HETE J1900.1-2455,HETEJ1900.1-2455|HETE J1900.1-2455,NS,"MINBAR source catalog: type BOIT, 10 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,,VERIFIED_PHASE1_PRODUCTS,True,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Inherited secure evidence; NuSTAR identity independently audited.,hete_j1900_1_2455,285.0407,-24.901194,https://burst.sci.monash.edu/sources,True,False,0
IGR J00291+5934,IGRJ00291+5934|IGR J00291+5934|IGR_J00291p5934,NS,"MINBAR source catalog: type BPT, 0 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,90101010002,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,igr_j00291_5934,7.262708,59.57192,https://burst.sci.monash.edu/sources,True,False,1
IGR J17062-6143,IGR J17062-6143|IGR_J17062m6143,NS,MINBAR direct evidence: 0 catalogue bursts; type=BPTC; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2012ATel.4219....1D,30101034002|30201018002|30801032002,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Broader MINBAR census outside Phase I.,igr_j17062_6143,256.56772,-61.71125,https://burst.sci.monash.edu/sources,True,False,3
IGR J17191-2821,IGR J17191-2821,NS,MINBAR direct evidence: 5 catalogue bursts; type=BOT; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2007ATel.1065....1K,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,igr_j17191_2821,259.81305,-28.29919,https://burst.sci.monash.edu/sources,True,False,0
IGR J17254-3257,IGR J17254-3257,NS,MINBAR direct evidence: 11 catalogue bursts; type=TBC; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2006ATel..778....1B,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,igr_j17254_3257,261.35626,-32.95486,https://burst.sci.monash.edu/sources,True,False,0
IGR J17379-3747,IGRJ17379-3747|IGR J17380-3749|XTE J1737-376|IGR_J17379m3747,NS,"Coherent millisecond pulsations: Sanna et al. 2018 (see existing registry). Published BH label conflicts; query exact designation, but no spectra admitted without independently verified pointing.",https://arxiv.org/abs/1807.08574v2,90401312002|90601333002,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,"Inherited secure evidence; NuSTAR identity independently audited. IGR J17380-3749 is the same physical system, merged before splitting.",igr_j17379_3747,264.4978,-37.7721,SIMBAD ambiguous_catalog_names.csv; both IGR aliases resolve to XTE J1737-376,True,False,2
IGR J17464-2811,IGR J17464-2811,NS,MINBAR direct evidence: 2 catalogue bursts; type=T?BC; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2006ATel..970....1B,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,igr_j17464_2811,266.81732,-28.18,https://burst.sci.monash.edu/sources,True,False,0
IGR J17473-2721,IGR J17473-2721,NS,MINBAR direct evidence: 61 catalogue bursts; type=T; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2008ATel.1445....1D,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,igr_j17473_2721,266.82532,-27.344084,https://burst.sci.monash.edu/sources,True,False,0
IGR J17480-2446,IGR J17480-2446,NS,MINBAR direct evidence: 303 catalogue bursts; type=BGOPT; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2010ATel.2924....1C,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,MINBAR discovery; cluster-marked fields require object-level contamination audit.,igr_j17480_2446,267.02008,-24.78025,https://burst.sci.monash.edu/sources,True,True,0
IGR J17498-2921,IGR J17498-2921|IGR_J17498m2921,NS,MINBAR direct evidence: 7 catalogue bursts; type=BOPT; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2011ATel.3560....1F,90901317002,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Broader MINBAR census outside Phase I.,igr_j17498_2921,267.4806,-29.32214,https://burst.sci.monash.edu/sources,True,False,1
IGR J17511-3057,IGR J17511-3057|IGR_J17511m3057,NS,MINBAR direct evidence: 16 catalogue bursts; type=BOPT; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2009ATel.2198....1B,90101001002|91101304002,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Broader MINBAR census outside Phase I.,igr_j17511_3057,267.78607,-30.96139,https://burst.sci.monash.edu/sources,True,False,2
IGR J17591-2342,IGR J17591-2342|IGR_J17591m2342,NS,MINBAR direct evidence: 0 catalogue bursts; type=BRPT; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2020arXiv200212154K,80301311002|90401331002,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Broader MINBAR census outside Phase I.,igr_j17591_2342,269.7619,-23.71894,https://burst.sci.monash.edu/sources,True,False,2
IGR J17597-2201,IGR J17597-2201,NS,MINBAR direct evidence: 16 catalogue bursts; type=BD; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2003ATel..156....1M,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,igr_j17597_2201,269.9397,-22.027569,https://burst.sci.monash.edu/sources,True,False,0
IGR J18245-2452,IGR J18245-2452,NS,MINBAR direct evidence: 0 catalogue bursts; type=BGTPR; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2013ATel.4959....1P,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,MINBAR discovery; cluster-marked fields require object-level contamination audit.,igr_j18245_2452,276.1354,-24.868834,https://burst.sci.monash.edu/sources,True,True,0
KS 1731-260,KS1731-260|KS 1731-260,NS,"MINBAR source catalog: type BOST, 366 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,,VERIFIED_PHASE1_PRODUCTS,True,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Inherited secure evidence; NuSTAR identity independently audited.,ks_1731_260,263.5561,-26.0885,https://burst.sci.monash.edu/sources,True,False,0
KS 1741-293,KS 1741-293,NS,MINBAR direct evidence: 29 catalogue bursts; type=TB; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1991AdSpR..11..187I,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,ks_1741_293,266.21274,-29.35467,https://burst.sci.monash.edu/sources,True,False,0
M15 X-2,M15 X-2,NS,MINBAR direct evidence: 8 catalogue bursts; type=GBCR?; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1990PASJ...42..633V,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,MINBAR discovery; cluster-marked fields require object-level contamination audit.,m15_x_2,322.49222,12.167389,https://burst.sci.monash.edu/sources,True,True,0
MAXI J0911-655,MAXI J0911-655,NS,MINBAR direct evidence: 0 catalogue bursts; type=BGPT; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2020ATel13754....1N,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,MINBAR discovery; cluster-marked fields require object-level contamination audit.,maxi_j0911_655,138.010125,-64.8684444,https://burst.sci.monash.edu/sources,True,True,0
MAXI J1816-195,MAXI J1816-195|MAXI_J1816m195,NS,MINBAR direct evidence: 0 catalogue bursts; type=TBP; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2022ATel15425....1B,90801315001,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Broader MINBAR census outside Phase I.,maxi_j1816_195,274.21838,-19.63261,https://burst.sci.monash.edu/sources,True,False,1
MXB 1658-298,MXB1658-298|MXB 1658-298|X1658-298,NS,"MINBAR source catalog: type BDEOT, 27 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed. Archive designation reviewed against primary literature and independent catalog position; see reconstruction/alias_evidence.csv.",https://burst.sci.monash.edu/sources,,VERIFIED_PHASE1_PRODUCTS,True,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Inherited secure evidence; NuSTAR identity independently audited.,mxb_1658_298,255.5272,-29.945646,https://burst.sci.monash.edu/sources,True,False,0
MXB 1730-335,MXB 1730-335,NS,MINBAR direct evidence: 126 catalogue bursts; type=TGBDR; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1978Natur.271..630H,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,MINBAR discovery; cluster-marked fields require object-level contamination audit.,mxb_1730_335,263.35254,-33.388832,https://burst.sci.monash.edu/sources,True,True,0
RX J1718.4-4029,RX J1718.4-4029,NS,MINBAR direct evidence: 2 catalogue bursts; type=BC; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2000A&A...358L..71K,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,rx_j1718_4_4029,259.6006,-40.49178,https://burst.sci.monash.edu/sources,True,False,0
SAX J1324.5-6313,SAX J1324.5-6313,NS,MINBAR direct evidence: 1 catalogue bursts; type=B; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2002A&A...392..885C,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,sax_j1324_5_6313,201.12625,-63.230556,https://burst.sci.monash.edu/sources,True,False,0
SAX J1712.6-3739,SAX J1712.6-3739,NS,MINBAR direct evidence: 2 catalogue bursts; type=TBC; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1999IAUC.7247....3C,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,sax_j1712_6_3739,258.1547,-37.64439,https://burst.sci.monash.edu/sources,True,False,0
SAX J1747.0-2853,SAX J1747.0-2853,NS,MINBAR direct evidence: 113 catalogue bursts; type=BTS; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1998IAUC.6846....2I,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,sax_j1747_0_2853,266.76083,-28.883028,https://burst.sci.monash.edu/sources,True,False,0
SAX J1748.9-2021,SAX J1748.9-2021|SAX_J1748d9m2021,NS,MINBAR direct evidence: 46 catalogue bursts; type=TGIAB; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1998IAUC.6997....3I,,NOT_AUDITED,False,MATCHED_NOT_ELIGIBLE,NOT_IN_INITIAL_PROCESSING_CENSUS,MINBAR discovery; cluster-marked fields require object-level contamination audit.,sax_j1748_9_2021,267.21735,-20.359001,https://burst.sci.monash.edu/sources,True,True,0
SAX J1750.8-2900,SAXJ1750.8-2900|SAX J1750.8-2900,NS,"MINBAR source catalog: type A?BOT, 24 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,,VERIFIED_PHASE1_PRODUCTS,True,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Inherited secure evidence; NuSTAR identity independently audited.,sax_j1750_8_2900,267.60175,-29.03761,https://burst.sci.monash.edu/sources,True,False,0
SAX J1752.3-3138,SAX J1752.3-3138,NS,MINBAR direct evidence: 2 catalogue bursts; type=BT; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1999IAUC.7307....2C,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,sax_j1752_3_3138,268.1,-31.628334,https://burst.sci.monash.edu/sources,True,False,0
SAX J1753.5-2349,SAX J1753.5-2349,NS,MINBAR direct evidence: 2 catalogue bursts; type=BT; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1999NuPhS..69..228I,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,sax_j1753_5_2349,268.3829,-23.820795,https://burst.sci.monash.edu/sources,True,False,0
SAX J1806.5-2215,SAXJ1806.5-2215|SAX J1806.5-2215,NS,"MINBAR source catalog: type TB, 9 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,,VERIFIED_PHASE1_PRODUCTS,True,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Inherited secure evidence; NuSTAR identity independently audited.,sax_j1806_5_2215,271.63403,-22.238144,https://burst.sci.monash.edu/sources,True,False,0
SAX J1808.4-3658,SAXJ1808.4-3658|SAX J1808.4-3658|SAX_J1808d4m3658,NS,"MINBAR source catalog: type BOPRT, 12 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,80701312002|81101346002|90102003002|90102003004|90102003006|90501335002|91101333004,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,sax_j1808_4_3658,272.115,-36.978863,https://burst.sci.monash.edu/sources,True,False,7
SAX J1810.8-2609,SAXJ1810.8-2609|SAX J1810.8-2609,NS,"MINBAR source catalog: type TBO, 16 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,,VERIFIED_PHASE1_PRODUCTS,True,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Inherited secure evidence; NuSTAR identity independently audited.,sax_j1810_8_2609,272.6853,-26.150333,https://burst.sci.monash.edu/sources,True,False,0
SAX J1818.7+1424,SAX J1818.7+1424,NS,MINBAR direct evidence: 2 catalogue bursts; type=BT; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2002A&A...392..885C,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,sax_j1818_7_1424,274.68332,14.403333,https://burst.sci.monash.edu/sources,True,False,0
SAX J1828.5-1037,SAX J1828.5-1037,NS,MINBAR direct evidence: 1 catalogue bursts; type=BST; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2002A&A...392..885C,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,sax_j1828_5_1037,277.1415,-10.616528,https://burst.sci.monash.edu/sources,True,False,0
SAX J2224.9+5421,SAX J2224.9+5421,NS,MINBAR direct evidence: 1 catalogue bursts; type=B; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2002A&A...392..885C,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,sax_j2224_9_5421,336.20688,54.38614,https://burst.sci.monash.edu/sources,True,False,0
SLX 1732-304,SLX 1732-304,NS,MINBAR direct evidence: 1 catalogue bursts; type=GBRT; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1981ApJ...247L..23M,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,MINBAR discovery; cluster-marked fields require object-level contamination audit.,slx_1732_304,263.94693,-30.482027,https://burst.sci.monash.edu/sources,True,True,0
SLX 1735-269,SLX1735-269|SLX 1735-269|SLX_1735m269,NS,"MINBAR source catalog: type BSC, 23 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,30601007002,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,slx_1735_269,264.57132,-26.994057,https://burst.sci.monash.edu/sources,True,False,1
SLX 1737-282,SLX 1737-282,NS,MINBAR direct evidence: 3 catalogue bursts; type=BC; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2002A&A...389L..43I,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,slx_1737_282,265.17847,-28.302334,https://burst.sci.monash.edu/sources,True,False,0
SLX 1744-300,SLX 1744-300,NS,MINBAR direct evidence: 304 catalogue bursts; type=BT?; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1990MNRAS.243...72S,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,slx_1744_300,266.85837,-30.044945,https://burst.sci.monash.edu/sources,True,False,0
SRGA J144459.2-604207,SRGA J144459.2-604207,NS,MINBAR direct evidence: 0 catalogue bursts; type=BPT; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2024ATel16474....1N,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,srga_j144459_2_604207,221.245583,-60.6986944,https://burst.sci.monash.edu/sources,True,False,0
Ser X-1,SERX-1|Ser X-1|Ser_X1|Serpens_X1,NS,"MINBAR source catalog: type BARS, 55 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,30001013002|30001013004|30301021002|30901004002,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,ser_x_1,279.9898,5.035972,https://burst.sci.monash.edu/sources,True,False,4
Swift J1749.4-2807,Swift J1749.4-2807,NS,MINBAR direct evidence: 1 catalogue bursts; type=BPT; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2009MNRAS.393..126W,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,swift_j1749_4_2807,267.3822,-28.134745,https://burst.sci.monash.edu/sources,True,False,0
XB 1832-330,XB 1832-330,NS,MINBAR direct evidence: 19 catalogue bursts; type=GBC; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1998A&A...329L..37I,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,MINBAR discovery; cluster-marked fields require object-level contamination audit.,xb_1832_330,278.9319,-32.99077,https://burst.sci.monash.edu/sources,True,True,0
XB 1916-053,XB 1916-053,NS,MINBAR direct evidence: 36 catalogue bursts; type=BADC; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1977ApJ...216L.101B,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,xb_1916_053,289.69946,-5.2380805,https://burst.sci.monash.edu/sources,True,False,0
XMMU J181227.8-181234,XMMU J181227.8-181234,NS,MINBAR direct evidence: 7 catalogue bursts; type=TBC; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2017ATel10567....1I,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,xmmu_j181227_8_181234,273.11584,-18.209444,https://burst.sci.monash.edu/sources,True,False,0
XTE J1701-407,XTE J1701-407,NS,MINBAR direct evidence: 1 catalogue bursts; type=BT; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2007ATel.1144....1H,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,xte_j1701_407,255.43471,-40.85836,https://burst.sci.monash.edu/sources,True,False,0
XTE J1701-462,XTE J1701-462|XTE_J1701m462,NS,MINBAR direct evidence: 6 catalogue bursts; type=TZR?; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2008ATel.1616....1M,90802322002|90901311002,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Broader MINBAR census outside Phase I.,xte_j1701_462,255.24358,-46.18572,https://burst.sci.monash.edu/sources,True,False,2
